genre1,genre2,count
death,thrash,4798
thrash,death,4798
death,melodic,4748
melodic,death,4748
death,black,3668
black,death,3668
death,brutal,2546
brutal,death,2546
death,grindcore,2302
grindcore,death,2302
death,doom,1571
doom,death,1571
heavy,rock,1403
rock,heavy,1403
rock,hard,1386
hard,rock,1386
thrash,heavy,1285
heavy,thrash,1285
heavy,hard,1210
hard,heavy,1210
thrash,groove,1200
groove,thrash,1200
death,progressive,1179
progressive,death,1179
thrash,black,1158
black,thrash,1158
death,metalcore,1139
metalcore,death,1139
melodic,black,1126
black,melodic,1126
heavy,power,1104
power,heavy,1104
death,technical,903
technical,death,903
doom,stoner,864
stoner,doom,864
thrash,crossover,854
crossover,thrash,854
doom,sludge,841
sludge,doom,841
doom,black,808
black,doom,808
melodic,metalcore,786
metalcore,melodic,786
thrash,melodic,759
melodic,thrash,759
heavy,melodic,738
melodic,heavy,738
black,ambient,704
ambient,black,704
black,atmospheric,698
atmospheric,black,698
death,groove,690
groove,death,690
black,symphonic,669
symphonic,black,669
progressive,power,664
power,progressive,664
thrash,power,645
power,thrash,645
black,raw,620
raw,black,620
thrash,speed,611
speed,thrash,611
doom,gothic,583
gothic,doom,583
rock,progressive,529
progressive,rock,529
thrash,progressive,515
progressive,thrash,515
black,depressive,475
depressive,black,475
melodic,power,469
power,melodic,469
heavy,progressive,468
progressive,heavy,468
thrash,metalcore,466
metalcore,thrash,466
brutal,grindcore,419
grindcore,brutal,419
death,deathcore,398
deathcore,death,398
thrash,hardcore,380
hardcore,thrash,380
heavy,speed,375
speed,heavy,375
progressive,melodic,371
melodic,progressive,371
death,gothic,367
gothic,death,367
black,folk,359
folk,black,359
doom,funeral,352
funeral,doom,352
black,pagan,336
pagan,black,336
stoner,sludge,333
sludge,stoner,333
stoner,rock,331
rock,stoner,331
black,gothic,321
gothic,black,321
death,blackened,311
blackened,death,311
power,symphonic,302
symphonic,power,302
